0,0
63,63
21,42
42,21
9,18
18,36
36,9
27,54
54,45
45,27
4,8
8,17
17,34
34,4
8,16
16,33
33,2
2,4
16,32
32,1
1,2
32,0
0,1
12,25
25,51
51,38
38,12
29,59
59,55
55,46
46,29
55,47
47,30
30,61
61,59
47,31
31,62
62,61
31,63
63,62
2,5
5,10
10,20
20,40
40,16
40,17
6,12
12,24
24,49
49,34
34,5
49,35
35,6
10,21
21,43
43,22
22,44
44,24
44,25
11,22
22,45
45,26
26,52
52,40
26,53
53,42
53,43
14,28
28,57
57,51
51,39
39,14
57,50
50,36
36,8
50,37
37,10
37,11
28,56
56,48
48,33
33,3
14,29
29,58
58,52
52,41
41,18
17,35
35,7
7,15
15,30
30,60
20,41
41,19
19,38
38,13
13,26
13,27
19,39
39,15
15,31
1,3
3,6
3,7
4,9
5,11
6,13
7,14
9,19
11,23
18,37
23,46
23,47
24,48
25,50
27,55
42,20
43,23
46,28
48,32
54,44
56,49
58,53
59,54
60,56
60,57
61,58
62,60
